"REF_DATE","GEO","DGUID","Type of fuel","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-10","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","142.4","","","","1"
"2021-11","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","140.8","","","","1"
"2021-12","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","130.7","","","","1"
"2022-01","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","141.4","","","","1"
"2022-02","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","153.8","","","","1"
"2022-03","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","171.1","","","","1"
"2022-04","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","169.1","","","","1"
"2022-05","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","195.8","","","","1"
"2022-06","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","208.1","","","","1"
"2022-07","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","187.1","","","","1"
"2022-08","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","170.2","","","","1"
"2022-09","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","153.5","","","","1"
"2022-10","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","167.2","","","","1"
"2022-11","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","170.2","","","","1"
"2022-12","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","144.0","","","","1"
"2023-01","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","151.3","","","","1"
"2023-02","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","151.4","","","","1"
"2023-03","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","150.1","","","","1"
"2023-04","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","163.2","","","","1"
"2021-01","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","106.1","","","","1"
"2021-02","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","112.3","","","","1"
"2021-03","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","123.1","","","","1"
"2021-04","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","125.8","","","","1"
"2021-05","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","128.7","","","","1"
"2021-06","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","130.2","","","","1"
"2021-07","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","135.8","","","","1"
"2021-08","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","136.3","","","","1"
"2021-09","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","137.7","","","","1"
"2021-10","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","143.1","","","","1"
"2021-11","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","146.0","","","","1"
"2021-12","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","139.6","","","","1"
"2022-01","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","142.2","","","","1"
"2022-02","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","153.2","","","","1"
"2022-03","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","169.6","","","","1"
"2022-04","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","174.4","","","","1"
"2022-05","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","194.2","","","","1"
"2022-06","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","210.6","","","","1"
"2022-07","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","192.1","","","","1"
"2022-08","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","177.1","","","","1"
"2022-09","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","158.5","","","","1"
"2022-10","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","168.9","","","","1"
"2022-11","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","174.1","","","","1"
"2022-12","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","149.5","","","","1"
"2023-01","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","157.4","","","","1"
"2023-02","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","158.7","","","","1"
"2023-03","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","156.7","","","","1"
"2023-04","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","169.3","","","","1"
"2021-01","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","114.8","","","","1"
"2021-02","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","121.1","","","","1"
"2021-03","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","128.4","","","","1"
"2021-04","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","128.7","","","","1"
"2021-05","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","133.8","","","","1"
"2021-06","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","134.7","","","","1"
"2021-07","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","137.7","","","","1"
"2021-08","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","139.9","","","","1"
"2021-09","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","144.6","","","","1"
"2021-10","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","150.6","","","","1"
"2021-11","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","154.6","","","","1"
"2021-12","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","149.8","","","","1"
"2022-01","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","152.7","","","","1"
"2022-02","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","164.5","","","","1"
"2022-03","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","181.5","","","","1"
"2022-04","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","180.8","","","","1"
"2022-05","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","206.6","","","","1"
"2022-06","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","219.7","","","","1"
"2022-07","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","201.0","","","","1"
"2022-08","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","186.8","","","","1"
"2022-09","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","165.8","","","","1"
"2022-10","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","176.3","","","","1"
"2022-11","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","179.3","","","","1"
"2022-12","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","157.4","","","","1"
"2023-01","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","165.1","","","","1"
"2023-02","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","161.9","","","","1"
"2023-03","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","162.8","","","","1"
"2023-04","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","171.7","","","","1"
"2021-01","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","115.4","","","","1"
"2021-02","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","122.5","","","","1"
"2021-03","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","129.1","","","","1"
"2021-04","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","128.5","","","","1"
"2021-05","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","133.8","","","","1"
"2021-06","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","136.4","","","","1"
"2021-07","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","139.7","","","","1"
"2021-08","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","141.2","","","","1"
"2021-09","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","143.3","","","","1"
